Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_{kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
r6n10021,83.14,94.82,34.47,U=0.7 g=42%,none,0.1363,981,2060 Warm,r6n10021,8.451,10.25,314354.1,103268.1,9588.2,477634.2,76863.3,1631365.9
r6n10022,7.263,22.33,98.29,U=0.6 g=23% ,roller,0.165,1149.6,2060 Warm,r6n10022,7.178,1.336,76529.8,87174.5,24020.7,341261.9,53804.9,905339.7
r6n10023,15.64,37.51,67.22,U=0.6 g=23% ,screen,0.1597,1697.5,2060,r6n10023,7.286,2.191,66121.7,96200.6,21129.7,340731.1,52960.3,950666.2
r6n10024,28.83,75.69,37.29,U=0.3 g=20%,screen,0.133,1189.9,2060 Warm,r6n10024,7.204,3.949,120752.2,81012.9,16356.1,346464.1,55247.6,1156579.6
r6n10025,10.35,24.33,62.58,U=0.6 g=23% ,screen,0.1921,3.713,2000,r6n10025,7.28,1.336,44313.3,86273.7,24987.6,322370.6,50500.1,821770.7
r6n10026,87.21,91.75,31.63,U=1.1 g=34%,none,0.1304,2157.4,2000,r6n10026,7.783,9.796,149002.7,185232.5,8483.9,476426.1,69836.9,1373128.7
r6n10027,8.193,3.555,21.64,U=0.7 g=42%,screen,0.1688,1718,2060 Warm,r6n10027,7.06,0.3003,67569.2,65954,50718,357996.8,58561.9,803970.8
r6n10028,21.09,75.72,12.22,U=0.3 g=20%,none,0.1057,2978.5,2000,r6n10028,7.322,3.64,81319.8,94718.3,17047.3,340598.1,53059.3,1038015.2
r6n10029,60.83,87.31,93.26,U=0.3 g=20%,roller,0.1329,1935.8,2000,r6n10029,7.279,5.315,110314.3,86208.1,13745.6,341645.4,53953.9,1136477.9
r6n10030,44.59,6.3,59.18,U=0.6 g=18%,none,0.1124,2261.9,2000,r6n10030,7.467,0.4044,40054.1,110070.2,46382,387400.6,60156.5,807000.9
r6n10031,12.77,26.19,11.33,U=0.6 g=18%,screen,0.1898,894.1,2000,r6n10031,7.289,0.6217,41971.6,82107.9,36802,337137.5,53488,831698.6
r6n10032,36.6,31.43,13.7,U=0.6 g=23% ,none,0.1564,1897.5,2000,r6n10032,7.326,1.566,49376.8,92784.5,22944.7,329690.6,51268.7,892133.4
r6n10033,17.99,10.86,41.69,U=0.3 g=20%,screen,0.106,599.9,2060,r6n10033,7.313,0.6422,50966.9,95279,40825,365966.1,57551,814546.5
r6n10034,71.03,16.21,15.19,U=0.7 g=42%,none,0.1874,1027.3,2000,r6n10034,6.988,1.788,73901.5,64609.9,20143.6,304908.8,49176.7,883449.2
r6n10035,41.82,21.39,75.47,U=1.1 g=34%,roller,0.1151,495.4,2060 Warm,r6n10035,7.309,2.608,87943.9,125700.2,16673.6,381977.8,57887.3,957241.7
r6n10036,46.48,75.74,73.39,U=0.6 g=23% ,none,0.1048,2649.2,2060,r6n10036,7.435,4.962,110714.4,123414.9,14802.6,389365,59398.8,1206257.5
r6n10037,85.14,40.85,7.592,U=0.7 g=42%,roller,0.1656,1880.8,2060 Warm,r6n10037,7.253,4.228,170865.7,75699.4,14239.2,366224.1,59223.8,1149732.8
r6n10038,14.56,29.67,34.64,U=1.1 g=34%,screen,0.2,2537.4,2060,r6n10038,7.335,2.456,58142.3,106167,18369.5,343167.6,52567.9,933209.2
r6n10039,98.21,44.84,6.258,U=0.7 g=42%,roller,0.1075,1810.1,2000,r6n10039,7.302,4.991,132806,97026.6,13056.3,367131.7,57614.1,1083060.2
r6n10040,87.7,18.06,89.05,U=0.7 g=42%,none,0.1298,2174.2,2060 Warm,r6n10040,7.21,3.211,135950.9,83272.4,15635.8,357046.3,56952.9,1032861.5
r6n10041,80.99,84.13,0.5167,U=0.6 g=18%,screen,0.1907,116.6,2060 Warm,r6n10041,7.305,2.78,119642.9,110942.6,18326.5,385929.8,59820.7,1238176.5
r6n10042,67.9,3.452,95.68,U=0.3 g=20%,roller,0.148,420.9,2060,r6n10042,7.107,0.7649,54110.7,72416.1,31294,322756.4,51720.7,824775.5
r6n10043,30.85,52.98,65.38,U=0.6 g=18%,roller,0.1684,1464.9,2060 Warm,r6n10043,7.242,1.766,92427.4,102631.3,22495.1,366947.1,57115.4,1055183.3
r6n10044,60.71,52.3,62.39,U=0.6 g=18%,none,0.1722,1741.6,2060,r6n10044,7.31,2.109,76929.5,105189.5,22455.4,360593.5,55766.2,1049075.8
r6n10045,45.21,5.386,40.74,U=0.7 g=42%,none,0.1849,353.7,2060 Warm,r6n10045,6.917,1.044,80462.5,61311.3,25653.7,314944.1,51245.7,839530.9
r6n10046,34.2,36.5,91.75,U=1.1 g=34%,screen,0.1579,28.95,2000,r6n10046,7.492,3.982,55986.1,147918.9,13341.6,383766.3,56361.6,1001986.2
r6n10047,4.949,9.327,12.39,U=0.6 g=18%,screen,0.1827,2195.6,2060,r6n10047,7.164,0.2061,50321.1,68367,51080,351135.1,57133.8,815333.9
r6n10048,55.14,49.11,32.41,U=0.6 g=23% ,none,0.1084,723.2,2060 Warm,r6n10048,7.253,3.218,102836.3,108283.9,17711.4,371493.2,57459.1,1069970.9
r6n10049,48.46,68.27,9.424,U=1.1 g=34%,roller,0.1861,1115.2,2060,r6n10049,7.462,5.975,117961.6,138401.6,11812.9,406652.4,61246.2,1196414.3
r6n10050,91.82,73.69,32.1,U=0.7 g=42%,roller,0.1739,1906.3,2000,r6n10050,7.599,7.848,207944.1,93741.7,9811.3,402340.9,64185.7,1290095.1
r6n10051,10.25,51.56,39.44,U=1.1 g=34%,none,0.1189,337.7,2000,r6n10051,7.543,4.44,83393.3,150683,13070,403083.9,59587.5,1073625
r6n10052,30.84,55.85,37.86,U=1.1 g=34%,roller,0.1621,2184.8,2060 Warm,r6n10052,7.39,5.021,122834,132569.6,12494.7,403779.3,61216.9,1149918.2
r6n10053,3.486,20.81,49.76,U=1.1 g=34%,screen,0.1004,630.3,2000,r6n10053,7.597,1.731,40517.8,147146.9,21397.4,388037.5,57189.6,895491.6
r6n10054,38.68,29.34,28.65,U=0.7 g=42%,none,0.1061,1664.7,2060 Warm,r6n10054,7.258,2.792,122938.9,94546.9,17185.3,365808.4,57583.5,1030310.3
r6n10055,59.94,38.85,65.29,U=0.7 g=42%,screen,0.1007,2874.2,2060 Warm,r6n10055,7.336,4.635,119629.9,110230.4,13808.3,376924.8,58269.1,1061834.6
r6n10056,0.03926,13.11,25.31,U=0.3 g=20%,screen,0.1277,643.2,2060,r6n10056,7.233,0.5092,52395.3,82601.5,48876,365819.8,58578,809166.8
r6n10057,25.11,89.95,78.43,U=1.1 g=34%,none,0.1475,1825.4,2060,r6n10057,7.793,8.998,162213.7,175654.7,9820.2,475140.2,70402.8,1412156
r6n10058,97.09,8.728,66,U=0.3 g=20%,screen,0.1087,2791.4,2060,r6n10058,7.231,1.181,56994.9,90093,27306,338917.2,53143,885085.3
r6n10059,82.41,23.21,94.3,U=0.6 g=18%,none,0.1804,2648.5,2000,r6n10059,7.353,1.23,47800.6,99698.7,25340.9,341501.9,52807.4,914698.4
r6n10060,7.781,98.29,24.81,U=0.6 g=18%,roller,0.1367,1559.1,2060,r6n10060,7.462,2.966,98310.6,129951.2,18717.6,396957.7,60214.2,1225230.7
r6n10061,87.68,31.51,32.11,U=0.6 g=18%,roller,0.1004,2245.2,2060,r6n10061,7.364,1.344,63523.3,117091.1,25990.7,373464.4,57079.9,982927.1
r6n10062,67.76,67.88,83.74,U=0.6 g=18%,screen,0.1768,1991.6,2060 Warm,r6n10062,7.308,2.798,109417.4,113748.2,18881,384222.1,59282.2,1171155.4
r6n10063,10.77,65.99,12.12,U=0.7 g=42%,none,0.1527,143.3,2060,r6n10063,7.526,5.157,178527.1,90019.5,13237.9,386407.3,61644.6,1249977.2
r6n10064,47.38,26.19,6.313,U=0.3 g=20%,none,0.1071,1698.9,2000,r6n10064,7.353,1.249,44687.3,98128.7,25630.9,338241,52354.2,859322
r6n10065,48.31,83.92,3.036,U=0.7 g=42%,roller,0.1737,2885.5,2000,r6n10065,7.622,7.694,203227.3,95257.6,10013.3,401734.5,63951.2,1283658.8
r6n10066,57.97,4.019,40.18,U=0.6 g=18%,roller,0.1976,2717.7,2060 Warm,r6n10066,7.027,0.3075,69577,64914.8,47429,352011.7,57577.5,855098
r6n10067,12.57,47.26,16.58,U=1.1 g=34%,none,0.1251,2227.6,2060 Warm,r6n10067,7.383,3.643,116091.7,127173.7,14579.9,396895.3,60433.7,1097950.2
r6n10068,12.16,15.73,95.62,U=1.1 g=34%,roller,0.1441,354.6,2000,r6n10068,7.466,1.712,46546.5,125026.8,19329.1,360889,54171,892204
r6n10069,26.92,4.872,79.71,U=0.6 g=23% ,roller,0.1806,901.6,2060 Warm,r6n10069,7.11,0.5376,67496.9,71289.2,36147,338253.5,54586.6,826151
r6n10070,72.15,32.17,43.38,U=0.6 g=18%,none,0.1141,970.7,2060 Warm,r6n10070,7.253,1.38,82233.9,106950.7,25747.2,371966.5,57654.5,977245.3
r6n10071,48.89,27.88,79.61,U=0.6 g=23% ,roller,0.124,1243.5,2060,r6n10071,7.304,2.054,66922.2,103623.1,21402.2,350781.6,54141.2,938129.8
r6n10072,43.86,18.64,51.2,U=0.6 g=18%,roller,0.1606,1311.5,2060 Warm,r6n10072,7.162,0.7418,72489.3,83616.4,33114,350857.5,55817.1,896729.5
r6n10073,60.35,48.77,60.27,U=1.1 g=34%,screen,0.1532,1076.6,2060,r6n10073,7.464,5.265,78647.4,148133,12714.3,396584.4,58636.7,1082606.4
r6n10074,99.14,48.61,34.34,U=0.7 g=42%,none,0.1772,1313.2,2000,r6n10074,7.329,6.033,163258.2,81072.9,11890.2,363782.7,58340.8,1140468.1
r6n10075,20.51,79.86,1.717,U=0.7 g=42%,roller,0.1334,2243.8,2060,r6n10075,7.65,6.664,204427.9,98236.9,11796.6,409403,65075.4,1334770.7
r6n10076,26.4,86.5,36.14,U=0.6 g=23% ,roller,0.107,1727.4,2060,r6n10076,7.447,5.064,112422.5,123628,14778.5,390602.5,59602.9,1225840
r6n10077,63.15,35.91,28.73,U=0.6 g=18%,roller,0.115,2897.4,2060 Warm,r6n10077,7.262,1.279,82271.9,106805.5,25800.6,371898.6,57654.5,995300.5
r6n10078,48.81,71.77,13.97,U=1.1 g=34%,none,0.1327,1842.1,2060,r6n10078,7.598,6.538,138977.7,148870.5,11438,431378.5,64799.6,1288412
r6n10079,67.49,69.98,90.96,U=1.1 g=34%,screen,0.1539,2931.9,2060,r6n10079,7.563,8.416,96681.8,176631.7,10379.2,438032.6,63683.5,1219035.7
r6n10080,5.104,28.68,17.77,U=1.1 g=34%,roller,0.1331,244.7,2060 Warm,r6n10080,7.247,2.01,82236.8,109611.1,19745.6,364412.9,56082.4,923098
r6n10081,94.28,71.67,22.48,U=1.1 g=34%,none,0.1786,48.81,2060 Warm,r6n10081,7.632,7.412,181805.6,143322.7,10486.1,448681.3,68356.1,1379100.2
r6n10082,11.74,96.23,78.91,U=0.7 g=42%,none,0.1491,2471.8,2060 Warm,r6n10082,8.349,9.166,290716.6,107898.8,9786.6,469472.3,75018.5,1582418.3
r6n10083,27.99,19.28,41.39,U=0.3 g=20%,screen,0.1737,1082.3,2060 Warm,r6n10083,7.025,1.019,71904.7,65121.8,29597.8,321575.7,52115.6,867691
r6n10084,51.92,41.61,38.44,U=0.7 g=42%,roller,0.1897,1753.1,2060,r6n10084,7.199,4.12,142425.8,76708.1,14846.1,351377.1,56484.1,1098206.9
r6n10085,88.24,33.91,90.56,U=0.7 g=42%,screen,0.1534,2116.4,2060,r6n10085,7.292,5.036,109081.5,95156.1,13762.1,351977.9,55058.7,1049944
r6n10086,78.63,20.24,30.85,U=0.6 g=23% ,none,0.1158,2671.5,2060,r6n10086,7.262,1.582,61857.4,98772.6,23654.8,345863.3,53664.5,929835.8
r6n10087,95.38,90.34,4.021,U=0.7 g=42%,none,0.165,2568.9,2060,r6n10087,8.158,9.216,280263.4,95328.8,10140.8,448355.6,72285.4,1551260.4
r6n10088,16.89,37.28,53.31,U=0.7 g=42%,none,0.1395,247.9,2000,r6n10088,7.315,3.551,100410.8,92992.2,15495.5,347148.6,54374.6,947939
r6n10089,39.63,2.701,75.42,U=1.1 g=34%,roller,0.1542,525.5,2060,r6n10089,7.295,0.7937,52720.5,96629.9,26782.8,343399.7,53401.7,829547.7
r6n10090,53.3,62.96,89.93,U=0.7 g=42%,screen,0.149,1135.5,2060 Warm,r6n10090,7.463,7.024,163049.6,103643.2,11145.3,390128.7,61178.3,1211461.6
r6n10091,77.69,29.87,83.04,U=0.3 g=20%,screen,0.1972,2243.6,2000,r6n10091,7.127,2.215,58895.6,68809.1,20757.4,302150.7,48334.5,917541.4
r6n10092,17.98,10.96,59.77,U=0.7 g=42%,screen,0.1276,1334.5,2060 Warm,r6n10092,7.192,1.217,74566.4,90262.9,25087.4,345778.7,54356.4,860967.7
r6n10093,77.32,42.39,2.336,U=0.7 g=42%,screen,0.178,1206.2,2060 Warm,r6n10093,7.201,4.295,121598.7,82372.8,14399.1,345118.4,54893.9,1065471.2
r6n10094,94.65,11.16,31.62,U=0.6 g=18%,roller,0.1849,2428.6,2060 Warm,r6n10094,7.064,0.6566,73193.2,73736.7,33048,339080.7,54531.4,903193.1
r6n10095,50.8,68.02,52.74,U=0.6 g=18%,roller,0.1886,672.4,2060,r6n10095,7.334,2.276,86215.5,109697,20753.1,368607.1,56825.4,1113158.4
r6n10096,48.81,16.64,58.97,U=0.7 g=42%,roller,0.1533,2187.7,2060,r6n10096,7.095,2.097,86164.2,77797.3,19790.6,327852.1,52185.1,921286.9
r6n10097,17.83,58.61,84.83,U=0.6 g=23% ,none,0.1989,1537.4,2060,r6n10097,7.302,3.353,93336.9,98280,16911.5,352011.5,54805.3,1076259.4
r6n10098,97.31,96.65,67.38,U=0.6 g=18%,screen,0.1399,2150.2,2060 Warm,r6n10098,7.448,3.725,133839.6,133420.5,16098.5,417909.7,63674,1361652
r6n10099,28.98,22.24,45.6,U=0.7 g=42%,roller,0.1824,2464.1,2060,r6n10099,7.077,2.136,88670.1,72328.1,19917.7,322901.9,51754.2,933037.1
r6n10100,54.56,10.73,8.916,U=0.6 g=18%,screen,0.158,1711.2,2060,r6n10100,7.179,0.3769,53880.3,77251.7,45810,354653.1,57024.8,854859.3
r6n10101,27.31,29.43,97.35,U=0.6 g=23% ,roller,0.1845,2732.3,2060,r6n10101,7.246,1.944,67295.4,89226,21373.6,333354.8,52219.9,941726.1
r6n10102,2.795,28.62,84.55,U=0.6 g=18%,roller,0.1192,294,2000,r6n10102,7.472,0.9029,43098.9,119314.3,29807.6,370696,56400,897584.1
r6n10103,36.34,86.31,90.86,U=0.6 g=23% ,screen,0.1528,2414.2,2060,r6n10103,7.434,5.581,110589.1,120912.3,13861.5,384536.1,58743.1,1225724.2
r6n10104,85.96,66.01,48.45,U=0.6 g=23% ,none,0.1079,9.754,2060 Warm,r6n10104,7.329,4.599,128886.2,114069.3,14762.5,388885.7,60089.7,1201825.8
r6n10105,66.62,17.59,26.16,U=0.6 g=23% ,roller,0.193,2675.9,2060,r6n10105,7.108,1.264,59273.8,72954.6,26372.7,317653.6,50763.1,904582.4
r6n10106,84.89,24.42,60.73,U=0.6 g=23% ,none,0.1576,791.5,2000,r6n10106,7.286,2.09,54253.2,93861.3,20669.4,329824.9,51203.5,903469
r6n10107,10.4,12.01,24.88,U=1.1 g=34%,roller,0.1262,1846.1,2000,r6n10107,7.485,0.9765,39829.9,112012.6,32609,364855.1,55961.9,824914.4
r6n10108,65.66,25.39,58.78,U=0.7 g=42%,none,0.124,1079.4,2060 Warm,r6n10108,7.236,3.245,135718.9,85799.3,15946.2,360554.3,57370.5,1056708.5
r6n10109,88.52,78.74,14.16,U=1.1 g=34%,none,0.1244,1844.7,2060 Warm,r6n10109,7.724,8.058,184407.7,157466.4,10214.1,467042.2,70465.4,1430240.9
r6n10110,8.208,4.928,10.36,U=0.6 g=18%,none,0.1551,90.06,2060 Warm,r6n10110,7.118,0.115,65191.2,71291.6,51226,364010.6,59194.1,758759.9
r7n10001,65.94,49.03,79.11,U=0.6 g=23% ,screen,0.1412,2839.8,2060,r7n10001,7.33,3.623,83297.4,107820.5,17080.9,357957.3,55076.1,1052167.4
r7n10002,28.52,35.23,96.64,U=0.3 g=20%,roller,0.1741,720.7,2000,r7n10002,7.206,2.322,57264.4,75683,21260,310479.2,49253,886696.5
r7n10003,56.15,36.69,61,U=0.6 g=23% ,none,0.1713,2297.8,2000,r7n10003,7.329,2.466,59816,96209.9,19309.2,333587.7,51681.5,946100.2
r7n10004,5.575,93,70.96,U=0.6 g=23% ,screen,0.1905,619.9,2000,r7n10004,7.466,5.289,92675.3,122672.1,13140.2,374545.5,56809.7,1187252.8
r7n10005,74.59,36.51,68.39,U=0.3 g=20%,screen,0.1461,2956.6,2060 Warm,r7n10005,7.081,2.603,94020.3,74829,19603.8,328718.7,52586.9,991258.9
r7n10006,9.242,63.61,69.69,U=0.6 g=18%,none,0.1913,1576.2,2000,r7n10006,7.443,1.982,61115.1,115328,21696,362033.3,55181.4,1047852.5
r7n10007,16.71,57.63,1.175,U=0.7 g=42%,roller,0.1996,1569.4,2060 Warm,r7n10007,7.371,4.395,178319.9,77868.9,13835.2,372617.1,60187.2,1193362.6
r7n10008,23.3,17.82,43.11,U=0.3 g=20%,screen,0.1831,391,2060,r7n10008,7.077,0.9275,54296.3,64264.5,31701,313633.5,50766,834046.9
r7n10009,87.01,65.52,91.77,U=0.6 g=23% ,screen,0.1007,2600.1,2060 Warm,r7n10009,7.376,5.004,120942.9,124227.8,14160.1,395452,60420.3,1199578.8
r7n10010,88.26,26.77,71.75,U=0.6 g=18%,screen,0.1496,2297.2,2060,r7n10010,7.273,1.364,64070.6,99158.4,25791.2,351509.7,54642.3,968164.2
r7n10011,92.56,32.75,22.96,U=0.3 g=20%,none,0.1673,2999.7,2060 Warm,r7n10011,6.977,2.139,92946.9,64563.8,20931,317908.3,51505.9,983053.6
r7n10012,7.405,13.44,82.77,U=0.6 g=23% ,screen,0.1196,2076.3,2060,r7n10012,7.38,0.8473,51467.5,103214.4,31242,358721.9,55595.5,847177.4
r7n10013,17.3,67.75,17.95,U=0.6 g=23% ,none,0.1303,1722.2,2060,r7n10013,7.353,3.445,94286.6,108490.9,17151.4,365494.8,56368.8,1100722.2
r7n10014,14.67,94.07,7.882,U=1.1 g=34%,roller,0.1611,191.1,2060,r7n10014,7.616,7.898,139471,164338.5,10405.3,448724.2,66617.4,1306502.7
r7n10015,61.8,82.37,68.36,U=0.6 g=23% ,roller,0.184,1527.5,2060 Warm,r7n10015,7.403,5.67,143127.4,109111.1,13503.9,389101.5,60540.3,1286867.2
r7n10016,63.61,81.95,8.962,U=1.1 g=34%,screen,0.1981,2482.8,2000,r7n10016,7.601,7.592,78566.9,174994.5,9528.6,423537.7,61226.5,1309945.2
r7n10017,73.52,6.051,63.14,U=0.6 g=23% ,roller,0.1501,2779.9,2060 Warm,r7n10017,7.136,0.919,71517.6,80511.8,29176.9,339393.5,54024.3,874408.8
r7n10018,1.431,8.321,28.91,U=0.6 g=23% ,roller,0.1803,2161.2,2060 Warm,r7n10018,7.066,0.3321,67960.5,66165.7,50799,358639.4,58659,822385.2
r7n10019,95.89,33.65,99.61,U=0.7 g=42%,screen,0.1935,672.5,2060 Warm,r7n10019,7.29,5.298,138213.5,87595.2,12920.8,358808.6,56908.9,1105569.9
r7n10020,90.51,3.408,25.22,U=0.6 g=18%,roller,0.1028,1703.6,2060 Warm,r7n10020,7.285,0.3365,70388.3,100691.1,40461,383684.2,60270.8,872373.7
r7n10021,75.69,22.2,13.8,U=1.1 g=34%,none,0.1342,2624.7,2000,r7n10021,7.386,2.405,60485.3,113979,17359.1,352200.3,53534.7,925529.2
r7n10022,79,60.53,37.77,U=0.3 g=20%,roller,0.1391,2132.7,2060,r7n10022,7.115,3.649,100266.9,76245.1,17542.6,330371,52764.6,1086120.5
r7n10023,70.09,35.35,83.4,U=0.6 g=23% ,roller,0.1125,1217.4,2060 Warm,r7n10023,7.243,2.863,95534,107364.4,18116.4,366715.3,56680.6,1018442.1
r7n10024,53.28,20.57,59.33,U=1.1 g=34%,screen,0.1853,1458.6,2060,r7n10024,7.354,2.407,59658.5,111473.4,17684.3,349330.3,53229.3,931704.4
r7n10025,88.84,10.27,59.84,U=0.6 g=18%,roller,0.1828,2786.5,2060,r7n10025,7.168,0.6962,55776.2,79524.5,32599,334791.7,53283.1,898123.3
r7n10026,82.11,69.31,12.81,U=0.3 g=20%,screen,0.1396,2512.5,2000,r7n10026,7.205,3.879,86047.1,81062,16358.1,325498.9,51493,1052584.5
r7n10027,76.03,90.34,91.27,U=0.6 g=23% ,screen,0.117,2947.5,2000,r7n10027,7.515,6.236,101061.5,136939,12063.4,395079.2,59297.4,1237311.1
r7n10028,97.13,73.95,70.62,U=1.1 g=34%,none,0.1635,137.7,2060 Warm,r7n10028,7.722,8.961,189052.9,158778.4,9845.3,470772.9,71023.8,1426216.7
r7n10029,2.118,13.28,70.01,U=0.3 g=20%,screen,0.1262,718.6,2000,r7n10029,7.381,0.6541,39242.2,92163.8,35234,344966.8,54053.2,780673.7
r7n10030,99.3,12.9,78.22,U=0.3 g=20%,screen,0.167,1874.4,2060 Warm,r7n10030,6.997,1.567,79518.8,66737.2,23774.4,317635.8,51276.5,912875.2
r7n10031,3.95,78.43,47.51,U=0.6 g=18%,roller,0.1517,1897.9,2060 Warm,r7n10031,7.334,2.371,105700,116237,19851.7,386781,59533.1,1155286.6
r7n10032,49.11,16.93,98.65,U=0.6 g=18%,none,0.1918,2728.4,2060 Warm,r7n10032,7.15,0.8258,73855.1,82493.2,30154.8,344975.1,54858.2,913487.5
r7n10033,19.16,62.12,43.09,U=1.1 g=34%,none,0.1455,739.9,2060 Warm,r7n10033,7.505,5.579,144516.9,139358.8,11965.5,424134.8,64294.1,1239781.5
r7n10034,82.24,33.23,46.78,U=0.7 g=42%,screen,0.166,1614,2060,r7n10034,7.223,4.092,98165.8,87489.2,15070.4,338409.6,53268.6,1017802.1
r7n10035,69.24,84.66,21.06,U=1.1 g=34%,none,0.1661,222.4,2000,r7n10035,7.683,8.369,138887,168033.9,9182.7,450591.3,66644.5,1299968.1
r7n10036,71.4,87.68,32.76,U=1.1 g=34%,none,0.1746,152.9,2000,r7n10036,7.715,8.847,144025.6,173175.3,8856.5,459364.9,67786.9,1325510.6
r7n10037,43.21,18.17,42.26,U=0.7 g=42%,roller,0.1445,416.6,2000,r7n10037,7.201,2,66829.5,84168,20131.9,324558.8,51066.9,855156.3
r7n10038,54.35,13.35,95.18,U=0.6 g=18%,none,0.1314,453.5,2060,r7n10038,7.305,0.7526,55031.8,100086.2,32234,358822.5,55873.8,874961.8
r7n10039,39.62,85.26,29.77,U=0.6 g=23% ,none,0.1408,1723.5,2060 Warm,r7n10039,7.408,4.97,139470.7,111506.9,14159.8,391012.3,60683.2,1274372.5
r7n10040,10.95,69.19,75.34,U=0.6 g=18%,roller,0.1337,1815.1,2060 Warm,r7n10040,7.335,2.204,101187.1,119121.6,20275.6,388365.7,59576.9,1123516.8
r7n10041,19.39,67.35,49.17,U=1.1 g=34%,none,0.157,549.1,2060,r7n10041,7.563,6.353,130171.7,145598,11742.2,422637.4,63508,1236998.4
r7n10042,39.47,18.38,18.6,U=0.7 g=42%,roller,0.1172,1112.8,2060,r7n10042,7.178,1.751,76595.4,88764.7,23024,341341.7,53687.2,903119.1
r7n10043,31.24,2.741,77.21,U=0.3 g=20%,screen,0.1998,2324.5,2060 Warm,r7n10043,6.975,0.4007,67113.4,57345.4,42126,331738.2,54579.7,823862
r7n10044,71.21,41.55,96.77,U=1.1 g=34%,roller,0.1616,2687.7,2000,r7n10044,7.516,5.323,81139.8,148784.2,11596.6,396768.1,58615.4,1098491
r7n10045,55.57,68.16,8.783,U=1.1 g=34%,screen,0.1698,2551.3,2060 Warm,r7n10045,7.397,6.096,106862.3,147251.8,11381.5,410146.9,61136.2,1179980.1
r7n10046,21.33,76.14,93.84,U=1.1 g=34%,roller,0.1726,311.2,2060 Warm,r7n10046,7.573,7.364,153868.7,161390.9,10265,453613.9,67737.1,1307024.9
r7n10047,94.09,36.36,25.9,U=0.7 g=42%,none,0.1378,2783,2000,r7n10047,7.218,4.542,126692.2,83543,13879.2,348451.2,55392.7,1033417.4
r7n10048,69.34,63.53,55.1,U=0.6 g=23% ,roller,0.1122,133.6,2060 Warm,r7n10048,7.307,4.273,121316.5,113430.9,15226.8,384394.2,59339.4,1172698
r7n10049,90.05,15.97,23.97,U=0.6 g=18%,screen,0.1352,935,2060,r7n10049,7.243,0.756,56704.7,92388.9,31453,349006.8,54757.3,905094.5
r7n10050,89.66,26.34,76.15,U=1.1 g=34%,screen,0.19,2406.5,2060 Warm,r7n10050,7.301,3.816,89528.9,121680.6,14044.1,373283.7,56666.4,1032549.8
r7n10051,6.03,3.84,52.82,U=0.3 g=20%,none,0.1518,2680.2,2060,r7n10051,7.2,0.2335,50454.5,72936.9,51166,356962.8,57796.6,799510.9
r7n10052,18.69,64.91,74.57,U=0.6 g=18%,screen,0.1375,2189.6,2000,r7n10052,7.491,2.295,61600.9,128629.4,21148.3,377600.9,56861.2,1069543.3
r7n10053,6.75,17.62,85.29,U=0.6 g=23% ,screen,0.1146,1144.6,2000,r7n10053,7.491,1.042,40637.9,116224.3,26933,360264.2,54790.8,848232.8
r7n10054,68.97,3.076,90.93,U=0.6 g=23% ,none,0.1281,257.3,2000,r7n10054,7.355,0.7949,41229.6,100971.9,27309,342656.3,52908.1,812066.4
r7n10055,95.36,43.46,62.78,U=0.6 g=23% ,roller,0.1926,2830.6,2000,r7n10055,7.298,3.329,71723.4,96354.7,16764.6,336331.9,52160,1012053.1
r7n10056,58.85,35.77,5.503,U=0.6 g=23% ,roller,0.1607,1063.6,2060 Warm,r7n10056,7.117,1.935,88536.9,84224.7,21032.1,339478.6,53731.1,987510.4
r7n10057,57.1,97.05,44.39,U=1.1 g=34%,none,0.1326,945.3,2060 Warm,r7n10057,7.893,10.1,202920.1,176900.4,9331.1,500317.3,74803,1530485.1
r7n10058,66.92,65.56,31.9,U=1.1 g=34%,screen,0.1706,2576,2060,r7n10058,7.493,6.521,87979.6,155903.4,11394.9,409308.1,60267,1169266.6
r7n10059,72.51,76.92,16.72,U=0.7 g=42%,roller,0.1451,1546.4,2000,r7n10059,7.599,7.588,199623,97927,10023.8,402852.2,63929.3,1284611.1
r7n10060,19.45,53.67,16.57,U=1.1 g=34%,roller,0.1401,681.6,2060 Warm,r7n10060,7.349,4.369,114056.7,130218.2,13428.9,397326.9,60257.9,1102196
r7n10061,41.56,41.12,72.71,U=0.3 g=20%,roller,0.1249,1168,2000,r7n10061,7.283,2.529,60032.5,88560.4,20347.6,326241,51002.7,917696.9
r7n10062,89.59,95.9,79.55,U=0.6 g=23% ,roller,0.1879,618.5,2000,r7n10062,7.501,6.488,118282.1,125961.4,11651.8,391252.8,59525.1,1272058.3
r7n10063,75.57,71.66,10.68,U=0.6 g=23% ,none,0.1077,2190.1,2060,r7n10063,7.371,4.541,107155.2,114979.7,15628,378401.7,58138.7,1190827.4
r7n10064,3.882,2.362,60,U=1.1 g=34%,screen,0.1538,858.4,2060,r7n10064,7.316,0.286,48873.7,88418,41446,357436.3,56595.1,793049.8
