Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_{kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
r4n10098,61.24,92.89,51,U=0.6 g=23% ,roller,0.1961,417.8,2060 Warm,r4n10098,7.447,5.791,152830.3,111091,12981.1,396401.4,61681.8,1341114.2
r4n10099,60.9,50.03,98.72,U=0.6 g=23% ,roller,0.1491,1548.8,2060,r4n10099,7.311,3.701,90806.3,105355.9,16706.6,358777.2,55427.5,1070604.8
r4n10100,3.168,37.37,86.12,U=0.7 g=42%,none,0.1256,2554.9,2060,r4n10100,7.364,3.481,119405.6,97617.9,15671.5,364604.6,57113,1040074
r5n10001,68.08,21.27,63.36,U=0.7 g=42%,roller,0.1373,2693.2,2000,r5n10001,7.212,2.891,84899.7,87654.4,16594.6,333299.1,52340.6,935013.4
r5n10003,6.537,32.63,13.5,U=0.6 g=23% ,none,0.1989,727.7,2060 Warm,r5n10003,7.079,1.341,79559.3,74139,24669.8,328306.1,52570.6,928362.4
r5n10005,32.87,57.33,26.49,U=0.3 g=20%,roller,0.1071,2420.5,2060 Warm,r5n10005,7.171,2.927,103401.2,87655.8,18704.9,348408,55043.1,1055154
r5n10007,92.63,81.02,42.96,U=0.3 g=20%,none,0.1777,319.8,2060 Warm,r5n10007,7.206,4.907,151305.5,71059.2,14662,349575.1,56631,1265016.7
r5n10008,65.44,71.14,41.23,U=0.6 g=23% ,none,0.1903,945.8,2060,r5n10008,7.31,4.319,111175.9,100383.6,15365.1,362502.1,56507,1192346.3
r5n10009,23.15,40.33,74.72,U=0.6 g=23% ,none,0.1019,1716.2,2060,r5n10009,7.384,2.532,73060.6,117683.7,19864.1,368880.4,56210.6,979943.5
r5n10010,88.51,51.36,80,U=0.7 g=42%,screen,0.1163,1888.1,2000,r5n10010,7.437,6.81,108536,115491.3,11000.9,371446,56851.8,1102171.8
r5n10011,27.9,73.53,33.12,U=0.6 g=23% ,none,0.1698,953.5,2060,r5n10011,7.337,4.009,105173.7,103308.9,15958.9,363543.9,56450.4,1161816
r5n10012,93.51,43.1,45.62,U=0.6 g=23% ,roller,0.1237,2476,2060,r5n10012,7.275,3.542,84775.5,104253.8,17813.1,355800.3,54986.6,1043199.6
r5n10013,81.01,33.74,15.37,U=0.7 g=42%,none,0.1007,1568.7,2060 Warm,r5n10013,7.325,3.654,151110,92813.5,15228.9,377068.9,59742,1122900.4
r5n10014,52.74,71.39,44.49,U=0.6 g=23% ,none,0.1182,138.5,2060,r5n10014,7.364,4.415,106557.2,114839,15502.8,377649.2,58015.5,1165246.5
r5n10016,77.41,60.98,95.97,U=1.1 g=34%,none,0.1645,1170.5,2060,r5n10016,7.589,7.377,141495.1,152112.9,10801,435702.3,65303.8,1289826.7
r5n10017,97.85,0.6259,17.97,U=0.6 g=23% ,none,0.1655,2498.9,2060 Warm,r5n10017,7.024,0.3423,69447.5,67935.6,32912,329500.6,53299.5,856969.7
r5n10018,74.43,15.07,67.44,U=0.3 g=20%,none,0.1725,1267.2,2060 Warm,r5n10018,6.962,1.339,77622.1,63653.8,25042.8,315011,51063,895599
r5n10019,55.32,11.35,7.945,U=0.7 g=42%,none,0.1542,126.4,2000,r5n10019,7.085,1.168,56101.5,72451.4,23591.9,310024.7,49440.3,804291.4
r5n10020,1.413,31.75,99.5,U=0.6 g=23% ,none,0.1346,2928.8,2000,r5n10020,7.445,1.863,49815.6,111924.4,21517.3,350771.5,53449.9,893770.4
r5n10023,99.83,11.25,46.49,U=0.7 g=42%,screen,0.1602,2472.1,2060 Warm,r5n10023,7.133,2.134,93896.1,80179.7,18350,332928,52895.2,946598.8
r5n10024,68.28,95.76,60.64,U=0.6 g=23% ,none,0.1488,626,2060 Warm,r5n10024,7.507,6.297,159578.9,117942.5,12628.2,408184.4,63220.4,1386157.7
r5n10025,54.11,25.28,14.01,U=0.7 g=42%,screen,0.1816,1648.1,2060,r5n10025,7.148,2.3,74039.5,76947.7,19250.5,318577.2,50596.6,930501.1
r5n10026,26.78,83.42,62.88,U=0.3 g=20%,screen,0.1462,351.1,2060 Warm,r5n10026,7.237,4.5,132202.5,79794.7,15259.1,349872.3,55958.2,1203684.2
r5n10027,85.86,58.81,30.43,U=0.3 g=20%,screen,0.1662,1406.1,2060,r5n10027,7.096,3.536,96660.5,71978.9,17701.6,323274.7,51849.9,1082404.9
r5n10028,63,72.74,74.46,U=0.6 g=23% ,roller,0.1166,224.1,2060 Warm,r5n10028,7.365,4.972,131682.2,116983.2,14197.5,393105.8,60602.5,1227511.8
r5n10029,91.25,72.34,49.57,U=0.3 g=20%,none,0.1199,1218.3,2060 Warm,r5n10029,7.216,4.625,137861,79758.3,15297.6,353287.1,56572.3,1214956.5
r5n10031,93.3,28.04,56.73,U=0.3 g=20%,screen,0.1931,2239.7,2060,r5n10031,7.011,2.141,72924.6,64108.3,21788,306771.4,49551.6,956904.6
r5n10032,99.11,61.97,28.19,U=0.3 g=20%,screen,0.148,2091.1,2060,r5n10032,7.121,3.804,101431.8,75225,17082.6,328993.5,52603,1111402.8
r5n10033,97.39,21.68,95.85,U=0.6 g=18%,screen,0.1775,1177.7,2000,r5n10033,7.336,1.27,48838.3,100110,24771.5,341607.9,52791.9,911929
r5n10034,33.57,79.01,45.69,U=0.3 g=20%,roller,0.1712,1818.7,2060 Warm,r5n10034,7.198,4.135,133391.7,73664.8,15809,344082.3,55432,1184224.8
r5n10035,43.16,25.05,47.36,U=0.6 g=23% ,screen,0.1643,410.5,2000,r5n10035,7.31,1.604,46567.5,93447,23177.1,329228.5,51131.1,874469
r5n10036,88.22,52.68,62.92,U=0.6 g=18%,none,0.1336,372.5,2060,r5n10036,7.324,2.181,80146.3,114806.5,21534.1,372618,57118.4,1070027.7
r5n10037,77.73,5.212,97.72,U=0.3 g=20%,screen,0.1902,2420.6,2000,r5n10037,7.158,0.9346,42960.5,67593.4,27569.1,303371.6,48653.6,824905.7
r5n10038,94.22,6.689,63.52,U=0.6 g=18%,screen,0.1247,496,2060,r5n10038,7.27,0.6131,55102.1,97243.1,34079,358706.2,56089,872988
r5n10039,74.4,21.16,57.85,U=0.7 g=42%,roller,0.1486,253.8,2060 Warm,r5n10039,7.106,2.996,127990.2,77577.1,16573.3,346996.8,55628.1,1002006.8
r5n10040,63.79,18.24,9.142,U=0.6 g=23% ,none,0.1635,1635.9,2060 Warm,r5n10040,7.07,1.107,75597,75361.6,25837.8,329533.2,52688.3,901884
r5n10041,9.911,21.96,21.19,U=0.6 g=18%,screen,0.184,1988,2000,r5n10041,7.297,0.5512,41576.9,82005.1,42160,346420.8,55157.3,830289.5
r5n10042,20.59,56.69,53.6,U=0.6 g=23% ,screen,0.1202,1984.6,2060 Warm,r5n10042,7.283,3.271,98381.5,110961.9,17096.4,370982.1,57145.3,1063600.1
r5n10043,52.36,57.31,90.91,U=0.3 g=20%,roller,0.1561,332.1,2060 Warm,r5n10043,7.125,3.536,117187,74481.2,16887.2,337295.4,54150,1095191.3
r5n10044,62.04,38.72,92.76,U=1.1 g=34%,none,0.1731,481.2,2000,r5n10044,7.468,4.714,88027.9,136615.8,12231.5,387162.1,57908.1,1062295.2
r5n10045,97.97,55.87,13.73,U=0.6 g=23% ,none,0.198,2700.5,2000,r5n10045,7.281,3.858,81110.2,94422.1,16103.1,338403.5,52691.6,1056267.6
r5n10046,40.65,46.36,1.307,U=0.7 g=42%,none,0.1166,376.6,2000,r5n10046,7.338,3.843,116641.9,96127.9,14612.5,359131.3,56257.6,1019575.3
r5n10047,98.9,89.17,11.73,U=0.3 g=20%,screen,0.1142,1039.7,2000,r5n10047,7.254,5.19,107212.7,87056.8,14107,341474.7,53852.9,1153360.5
r5n10048,39.38,89.53,22.92,U=0.6 g=23% ,none,0.1335,1561.7,2000,r5n10048,7.486,5.275,99518.4,123161.7,13600.9,380080.6,57759,1180835.4
r5n10049,98.81,8.085,23.3,U=1.1 g=34%,none,0.1752,1460.7,2060,r5n10049,7.071,1.413,68638.2,83364.8,20596.9,325590.6,51318,921443.9
r5n10050,70.49,46.89,99.28,U=0.6 g=18%,roller,0.1826,884.5,2060 Warm,r5n10050,7.227,2.178,95698.4,102770,21230.8,366806,57078.6,1065802.5
r5n10051,49.4,33.8,35.92,U=0.3 g=20%,roller,0.1173,625.7,2000,r5n10051,7.289,1.923,52244.6,90983.9,22559.5,328513.5,51207.8,881501.8
r5n10052,88.35,47.7,97.63,U=0.6 g=23% ,roller,0.1754,2440.4,2060,r5n10052,7.267,3.844,94299.2,99431,16350.2,352983.4,54883.5,1076986.2
r5n10053,21.44,99.38,47.78,U=0.3 g=20%,none,0.1932,755.9,2060,r5n10053,7.238,4.978,134910.2,75648.4,14825.3,345533.2,55526.6,1271732.9
r5n10054,57,3.359,8.688,U=0.7 g=42%,roller,0.1781,567.5,2060,r5n10054,6.871,0.4951,60785.7,58523.8,38020,321881.5,52718.3,831748.9
r5n10055,80.26,21.21,87.38,U=0.6 g=23% ,roller,0.1487,2555.6,2060 Warm,r5n10055,7.156,2.142,85392.3,90615,20275.5,344039.2,54016,960800.3
r5n10056,10.12,56.92,19.89,U=0.6 g=18%,screen,0.118,270.9,2060 Warm,r5n10056,7.277,1.719,89307.6,112065.2,24047.6,379402.8,58559.8,1036263.5
r5n10057,95.41,24.76,50.33,U=0.6 g=23% ,none,0.1356,2434.1,2060,r5n10057,7.195,2.176,70549.4,92947.6,20935.7,339056.9,52930.8,966557.4
r5n10059,70.48,96.84,91.78,U=1.1 g=34%,none,0.1789,2154,2000,r5n10059,7.85,10.61,156045.3,197656,7952.2,494876.8,72105.4,1420265.3
r5n10060,90.07,72.45,21.41,U=0.3 g=20%,none,0.1864,2605.2,2060,r5n10060,7.082,4.091,118068.2,68471.6,16349.7,329400.6,53236.8,1164483.6
r5n10061,4.341,11.57,37.12,U=1.1 g=34%,none,0.1375,2275.9,2060 Warm,r5n10061,7.276,0.9037,70505.9,96364.2,26684.5,353672.5,55261.6,854400.1
